county,state,2020 Democrat vote raw,2020 Republican vote raw,Population with less than 9th grade education,"Population with 9th to 12th grade education, no diploma",High School graduate and equivalent,"Some College,No Degree",Associates Degree,Bachelors Degree,Graduate or professional degree,Gini Index,Mean income (dollars),Density per square km,Total Population,Hispanic or Latino percentage,NH-White percentage,NH-Black percentage,"Percentage engaged in Management, business, science, and arts occupations",Percentage engaged in Service Occupations,Percentage engaged in Sales and Office,Percentage engaged in Resources and Construction,Percentage engaged in Transportation,Label (County),Label (State)
Autauga County,alabama,7503,19838,1.7,7.9,31.1,21.0,8.7,16.7,12.8,0.4541,90.372,38.17,58805,3.6,70.71,19.3,36.39,14.24,22.02,9.99,17.36,Republican,Republican
Baldwin County,alabama,24578,83544,2.0,6.4,27.8,21.7,9.6,20.0,12.5,0.4648,96.027,56.69,231767,5.47,80.47,7.77,35.62,17.14,24.2,9.91,13.13,Republican,Republican
Barbour County,alabama,4816,5622,7.3,16.2,36.8,19.9,7.9,6.6,5.3,0.5098,60.128,10.85,25223,5.99,43.95,46.98,27.73,20.16,19.49,12.53,20.09,Republican,Republican
Bibb County,alabama,1986,7525,6.4,14.7,40.9,19.1,8.0,6.6,4.3,0.4553,65.131,13.8,22293,3.32,73.75,19.69,22.22,15.32,20.57,16.43,25.47,Republican,Republican
Blount County,alabama,2640,24711,7.1,11.1,35.3,20.7,11.0,9.4,5.3,0.4475,75.954,35.37,59134,9.76,84.15,1.4,26.75,12.98,22.73,15.81,21.73,Republican,Republican
Bullock County,alabama,3446,1146,9.9,16.7,41.3,19.5,3.2,6.9,2.5,0.5058,52.269,6.4,10357,4.86,22.02,71.33,20.73,18.19,9.83,16.88,34.38,Democrat,Republican
Butler County,alabama,3965,5458,3.9,8.5,48.0,19.1,7.4,7.8,5.3,0.4837,65.988,9.43,19051,1.36,50.81,44.03,25.04,15.28,22.62,10.47,26.59,Republican,Republican
Calhoun County,alabama,15216,35101,4.4,10.5,34.6,23.2,8.1,11.5,7.6,0.4519,69.213,74.02,116441,4.3,68.29,21.78,29.79,18.19,21.0,9.92,21.1,Republican,Republican
Chambers County,alabama,6365,8753,5.8,10.8,39.5,20.3,10.9,9.2,3.5,0.4371,64.377,22.4,34772,3.56,53.54,38.65,26.71,17.74,17.31,9.73,28.51,Republican,Republican
Cherokee County,alabama,1624,10583,6.6,11.5,36.1,19.3,12.0,8.3,6.3,0.4484,65.664,17.49,24971,1.6,90.36,3.95,34.57,16.41,16.83,11.98,20.21,Republican,Republican
Chilton County,alabama,3073,16085,5.9,11.9,41.6,19.1,7.5,8.2,5.8,0.4211,73.65,25.16,45014,9.81,77.48,8.97,22.82,14.88,19.57,20.95,21.79,Republican,Republican
Choctaw County,alabama,3127,4296,6.4,11.2,38.2,21.5,9.7,9.6,3.4,0.4675,61.685,5.35,12665,0.89,55.58,41.19,21.51,16.13,26.15,15.78,20.43,Republican,Republican
Clarke County,alabama,5755,7324,4.9,13.7,41.0,19.6,7.0,8.4,5.4,0.529,71.413,7.19,23087,0.89,51.85,44.28,27.31,15.15,24.33,11.38,21.83,Republican,Republican
Clay County,alabama,1267,5601,5.0,11.6,37.4,21.3,11.8,9.2,3.6,0.48,69.549,9.08,14236,3.15,79.1,13.64,33.48,10.76,15.37,11.62,28.77,Republican,Republican
Cleburne County,alabama,675,6484,5.2,12.3,39.0,19.5,7.6,11.0,5.5,0.4724,71.645,10.44,15056,1.89,91.26,3.04,28.65,14.95,17.71,16.62,22.07,Republican,Republican
Coffee County,alabama,5076,16899,4.5,8.9,28.9,23.0,13.1,13.1,8.5,0.4354,78.477,30.46,53465,9.14,66.88,16.17,31.19,18.76,18.69,14.03,17.33,Republican,Republican
Colbert County,alabama,8343,19203,3.6,10.1,36.6,23.3,8.4,11.2,6.8,0.4488,71.46,37.29,57227,3.03,75.56,16.11,33.73,17.14,18.68,9.82,20.63,Republican,Republican
Conecuh County,alabama,2966,3442,2.9,7.7,48.3,19.8,8.1,7.7,5.7,0.4639,56.23,5.26,11597,2.21,50.31,43.94,24.22,13.26,22.84,7.16,32.53,Republican,Republican
Coosa County,alabama,1796,3631,3.7,12.8,41.4,22.1,9.3,7.2,3.5,0.4216,69.81,6.13,10387,1.94,65.53,28.88,23.97,15.51,22.62,14.06,23.84,Republican,Republican
Covington County,alabama,2721,14586,4.4,9.8,36.3,21.4,11.8,9.8,6.5,0.4908,69.704,14.07,37570,1.74,81.6,12.15,31.23,15.69,19.19,12.41,21.48,Republican,Republican
Crenshaw County,alabama,1700,4864,6.8,11.1,42.5,14.4,8.0,11.9,5.3,0.5581,78.621,8.37,13194,1.42,70.74,23.38,24.61,15.04,20.69,12.02,27.63,Republican,Republican
Cullman County,alabama,4478,36880,4.6,10.8,31.4,23.6,11.4,12.1,6.2,0.4425,75.873,46.39,87866,4.72,89.11,1.04,28.55,16.72,22.62,13.6,18.51,Republican,Republican
